epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.3449670374393463,0.41341036558151245,0.17092561721801758,0.28064534068107605
1,0.0010000000474974513,0.1789989024400711,0.29889050126075745,0.09015712141990662,0.20244526863098145
2,0.0010000000474974513,0.14003042876720428,0.26485148072242737,0.08072537183761597,0.19116567075252533
3,0.0010000000474974513,0.12511640787124634,0.2515959143638611,0.06579151749610901,0.17525726556777954
4,0.0010000000474974513,0.11327030509710312,0.2410716414451599,0.06039263680577278,0.16747543215751648
5,0.0010000000474974513,0.1077309176325798,0.23559613525867462,0.05976623669266701,0.16582468152046204
6,0.0010000000474974513,0.10451753437519073,0.2322549819946289,0.06091569364070892,0.16749903559684753
7,0.0010000000474974513,0.10207059234380722,0.22974194586277008,0.057147614657878876,0.1620841771364212
8,0.0010000000474974513,0.10081453621387482,0.22843678295612335,0.05646249279379845,0.16172362864017487
9,0.0010000000474974513,0.09876451641321182,0.22620339691638947,0.05439962074160576,0.15816475450992584
10,0.0010000000474974513,0.09669356793165207,0.22398993372917175,0.054089341312646866,0.1580897867679596
11,0.0010000000474974513,0.09499873220920563,0.22210575640201569,0.0519200898706913,0.15494422614574432
12,0.0010000000474974513,0.09328818321228027,0.2201790064573288,0.053786613047122955,0.1557317078113556
13,0.0010000000474974513,0.09195183962583542,0.21859611570835114,0.05432907119393349,0.15709277987480164
14,0.0010000000474974513,0.09081040322780609,0.21730655431747437,0.05365971848368645,0.1562701016664505
15,0.0010000000474974513,0.08951997756958008,0.21579444408416748,0.054074566811323166,0.15665358304977417
16,0.0010000000474974513,0.08820810914039612,0.21433889865875244,0.05805771425366402,0.16154395043849945
17,0.0005000000237487257,0.08496630936861038,0.21059483289718628,0.05877424776554108,0.16195565462112427
18,0.0005000000237487257,0.08425013720989227,0.2096979320049286,0.06190655380487442,0.16293269395828247
19,0.0005000000237487257,0.08367352187633514,0.20909832417964935,0.06241803988814354,0.1623750925064087
20,0.0005000000237487257,0.08314478397369385,0.20843403041362762,0.06692338734865189,0.16778290271759033
21,0.0005000000237487257,0.08270885050296783,0.20796331763267517,0.06570989638566971,0.16620206832885742
