epoch,category_output_accuracy,category_output_auc,category_output_loss,diagnosis_output_accuracy,diagnosis_output_loss,learning_rate,loss,val_category_output_accuracy,val_category_output_auc,val_category_output_loss,val_diagnosis_output_accuracy,val_diagnosis_output_loss,val_loss
0,0.6754156947135925,0.8668582439422607,0.6690364480018616,0.5901378393173218,0.9795363545417786,0.0010000000474974513,0.8863874077796936,0.7025250196456909,0.8899121880531311,0.6015434265136719,0.6154483556747437,0.89467853307724,0.8067344427108765
1,0.6984943151473999,0.886378288269043,0.6122409701347351,0.6110296249389648,0.9110162258148193,0.0010000000474974513,0.821372389793396,0.7064899802207947,0.8926590085029602,0.5932960510253906,0.6192116737365723,0.8857863545417786,0.7980347275733948
2,0.7021200060844421,0.8892824649810791,0.6033706068992615,0.6144339442253113,0.900554358959198,0.0010000000474974513,0.8113855123519897,0.7070666551589966,0.8937885165214539,0.589512288570404,0.6202200055122375,0.8812339305877686,0.7937131524085999
3,0.7037389278411865,0.8904724717140198,0.5998020172119141,0.6157267689704895,0.8960863351821899,0.0010000000474974513,0.8071897029876709,0.7088883519172668,0.8948606252670288,0.5861451625823975,0.6219633221626282,0.8770414590835571,0.7897689342498779
4,0.7045918107032776,0.8912073373794556,0.5975513458251953,0.6167385578155518,0.8933842778205872,0.0010000000474974513,0.8046226501464844,0.7095316648483276,0.8950032591819763,0.5857953429222107,0.6223283410072327,0.8766557574272156,0.789393424987793
5,0.7051289081573486,0.8916400074958801,0.5960717797279358,0.6172807216644287,0.8915277123451233,0.0010000000474974513,0.802879273891449,0.709546685218811,0.8953207731246948,0.5846132636070251,0.6227700114250183,0.875479519367218,0.7882152199745178
6,0.7057435512542725,0.892045795917511,0.5949953198432922,0.6176732182502747,0.8902211785316467,0.0010000000474974513,0.8016411662101746,0.7091816663742065,0.8951214551925659,0.5850644707679749,0.6226450204849243,0.8754375576972961,0.7883212566375732
7,0.7060414552688599,0.8923392295837402,0.5940300226211548,0.6181225180625916,0.8890770673751831,0.0010000000474974513,0.8005531430244446,0.7098833322525024,0.8954110145568848,0.5846234560012817,0.6228316426277161,0.8753384947776794,0.7881191968917847
8,0.7063282132148743,0.8925783038139343,0.5932698249816895,0.6183249950408936,0.8881504535675049,0.0010000000474974513,0.7996768951416016,0.7100116610527039,0.8955134153366089,0.5840876698493958,0.6228933334350586,0.874645471572876,0.7874742746353149
9,0.7064928412437439,0.8927070498466492,0.5927847027778625,0.6183432340621948,0.8876107931137085,0.0010000000474974513,0.7991510629653931,0.7115016579627991,0.8961081504821777,0.5825403332710266,0.6238133311271667,0.872998058795929,0.7858559489250183
10,0.7068639397621155,0.8929592370986938,0.5921319127082825,0.6188750267028809,0.8868310451507568,0.0010000000474974513,0.7984071373939514,0.7106016874313354,0.8960297703742981,0.5823516845703125,0.6238916516304016,0.8725557327270508,0.7854900360107422
11,0.707068920135498,0.8930960297584534,0.5916377305984497,0.6189450025558472,0.8862396478652954,0.0010000000474974513,0.7978493571281433,0.7101799845695496,0.8958866596221924,0.5826600193977356,0.623686671257019,0.8727625012397766,0.7857272624969482
12,0.7071149945259094,0.8931849598884583,0.5913251638412476,0.6190789341926575,0.885826826095581,0.0010000000474974513,0.7974656224250793,0.7102883458137512,0.8959524631500244,0.5823239088058472,0.6236383318901062,0.8724693059921265,0.7854210734367371
13,0.707087516784668,0.8932627439498901,0.5910617709159851,0.6192696690559387,0.8855936527252197,0.0010000000474974513,0.7972240447998047,0.7095316648483276,0.8955546617507935,0.5834381580352783,0.623075008392334,0.8744754791259766,0.7871595025062561
14,0.7073550224304199,0.8933959603309631,0.5905880928039551,0.6197353601455688,0.8848797678947449,0.0010000000474974513,0.796580970287323,0.7106599807739258,0.8961612582206726,0.581872284412384,0.6238999962806702,0.8720635771751404,0.7850010395050049
15,0.7075024843215942,0.8935337066650391,0.5902004837989807,0.6197639107704163,0.884552001953125,0.0010000000474974513,0.7962357997894287,0.7107583284378052,0.8959497213363647,0.5825413465499878,0.6238133311271667,0.8724311590194702,0.785459578037262
16,0.7077646255493164,0.893612802028656,0.5899472832679749,0.6200046539306641,0.8841984272003174,0.0010000000474974513,0.7959116697311401,0.7110516428947449,0.8963150382041931,0.5811799168586731,0.6242550015449524,0.8716866374015808,0.7845298647880554
17,0.7074946165084839,0.8936847448348999,0.5897232890129089,0.6198757290840149,0.883878231048584,0.0010000000474974513,0.7956212759017944,0.7115083336830139,0.8968325257301331,0.5799349546432495,0.6249233484268188,0.869736909866333,0.7827916741371155
18,0.7076835632324219,0.8937397003173828,0.5895216464996338,0.61989426612854,0.883586585521698,0.0010000000474974513,0.7953553795814514,0.71103835105896,0.8964552283287048,0.5805805921554565,0.6244066953659058,0.8703739047050476,0.7834311127662659
19,0.7078307271003723,0.8938080668449402,0.589314877986908,0.6201035976409912,0.8834015727043152,0.0010000000474974513,0.7951663136482239,0.7108133435249329,0.8963475823402405,0.5814135074615479,0.624138355255127,0.8719022870063782,0.7847509980201721
20,0.7078953385353088,0.8939082622528076,0.5890598297119141,0.620371401309967,0.8830713033676147,0.0010000000474974513,0.7948527932167053,0.7110166549682617,0.8964839577674866,0.5808553099632263,0.6243466734886169,0.8712878227233887,0.7841535210609436
21,0.7079203724861145,0.8939397931098938,0.5888469815254211,0.6203742623329163,0.8827594518661499,0.0010000000474974513,0.7945742607116699,0.7117783427238464,0.8967861533164978,0.5801149010658264,0.6248049736022949,0.8701639175415039,0.7831447124481201
22,0.70807284116745,0.8940154314041138,0.588718831539154,0.6202389001846313,0.8826185464859009,0.0010000000474974513,0.7944374084472656,0.7115349769592285,0.89686119556427,0.579750657081604,0.6249383091926575,0.8698747158050537,0.7828325629234314
23,0.7089242935180664,0.894665539264679,0.586698591709137,0.6212660670280457,0.8802633285522461,0.0005000000237487257,0.7921827435493469,0.7114049792289734,0.896896481513977,0.5793427228927612,0.6246749758720398,0.8693151473999023,0.7823188304901123
24,0.7091000080108643,0.8947707414627075,0.5864251852035522,0.6213085651397705,0.8798621892929077,0.0005000000237487257,0.7918188571929932,0.7123033404350281,0.8973387479782104,0.5781676173210144,0.6255199909210205,0.8676736354827881,0.7808169722557068
