epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.041896916925907135,0.10743164271116257,0.001072747283615172,0.022944388911128044
1,0.0010000000474974513,0.0020007933489978313,0.03134933486580849,0.0005435819621197879,0.015795357525348663
2,0.0010000000474974513,0.0013123556273058057,0.025269025936722755,0.0003952457045670599,0.013398435898125172
3,0.0010000000474974513,0.0010567434364929795,0.022632703185081482,0.00032801268389448524,0.012470812536776066
4,0.0010000000474974513,0.0008964321459643543,0.02080150879919529,0.00031213826150633395,0.012568858452141285
5,0.0010000000474974513,0.0007683681906200945,0.019174758344888687,0.00026632609660737216,0.01141639705747366
6,0.0010000000474974513,0.000673842616379261,0.017784951254725456,0.00022088941477704793,0.01037673745304346
7,0.0010000000474974513,0.0005988407065160573,0.016627542674541473,0.0001823913335101679,0.009747765026986599
8,0.0010000000474974513,0.0005477603990584612,0.01580037735402584,0.00015540915774181485,0.009166670963168144
9,0.0010000000474974513,0.0005107883480377495,0.015198185108602047,0.0001373218692606315,0.008399882353842258
10,0.0010000000474974513,0.00048502851859666407,0.014742099680006504,0.00012159047764725983,0.008247866295278072
11,0.0010000000474974513,0.00046549199032597244,0.01438842248171568,0.00013522844528779387,0.008722247555851936
12,0.0010000000474974513,0.00045219104504212737,0.014140400104224682,8.709126268513501e-05,0.006670430302619934
13,0.00020000000949949026,0.0004014267469756305,0.013100331649184227,2.8781832952518016e-05,0.003724494716152549
14,0.00020000000949949026,0.00040113477734848857,0.013107556849718094,3.2359534088755026e-05,0.004075331147760153
15,0.00020000000949949026,0.00039939413545653224,0.013083282858133316,3.078936424572021e-05,0.003942763898521662
16,0.00020000000949949026,0.0003979381581302732,0.013059702701866627,2.9427759727695957e-05,0.003893499728292227
17,0.00020000000949949026,0.00039576462586410344,0.013026542030274868,2.980474710057024e-05,0.00392894446849823
18,4.0000002627493814e-05,0.0003835235256701708,0.012758458033204079,1.2573611456900835e-05,0.00223734462633729
19,4.0000002627493814e-05,0.0003835090028587729,0.012761250138282776,1.1934144822589587e-05,0.0021312138997018337
20,4.0000002627493814e-05,0.0003829281486105174,0.012753263115882874,1.2094898011127952e-05,0.002190746832638979
21,4.0000002627493814e-05,0.0003823962470050901,0.012747777625918388,1.308897935814457e-05,0.0022983478847891092
22,8.000000889296643e-06,0.0003797399112954736,0.012687327340245247,1.0436626325827092e-05,0.0019416240975260735
23,8.000000889296643e-06,0.0003798232937697321,0.01268627680838108,1.0540968105487991e-05,0.001962692243978381
24,8.000000889296643e-06,0.00037921208422631025,0.012683172710239887,1.0489117812539916e-05,0.0019663581624627113
25,8.000000889296643e-06,0.0003797723038587719,0.012685532681643963,1.0428957466501743e-05,0.0019357881974428892
26,1.6000001323845936e-06,0.00037850093212909997,0.012668123468756676,1.050510400091298e-05,0.0019605811685323715
27,1.6000001323845936e-06,0.00037859936128370464,0.012665554881095886,1.046613760991022e-05,0.0019503473304212093
28,1.6000001323845936e-06,0.00037859907024540007,0.01266731321811676,1.04641267171246e-05,0.001955105224624276
29,1.6000001323845936e-06,0.000378493859898299,0.012664362788200378,1.0407140507595614e-05,0.00194857909809798
30,3.200000264769187e-07,0.00037855084519833326,0.012668333947658539,1.0619857675919775e-05,0.0019659593235701323
31,3.200000264769187e-07,0.00037860265001654625,0.012666064314544201,1.067248285835376e-05,0.0019734094385057688
32,3.200000264769187e-07,0.00037855704431422055,0.0126669742166996,1.0760531040432397e-05,0.0019836933352053165
33,3.200000264769187e-07,0.00037872372195124626,0.012666856870055199,1.0736299373093061e-05,0.0019810404628515244
34,1.0000000116860974e-07,0.0003787868772633374,0.012667977251112461,1.0763938007585239e-05,0.001983454916626215
35,1.0000000116860974e-07,0.00037864039768464863,0.012665605172514915,1.080434685718501e-05,0.001988143427297473
36,1.0000000116860974e-07,0.0003784125146921724,0.012663976289331913,1.0848702004295774e-05,0.0019938622135668993
37,1.0000000116860974e-07,0.000378610217012465,0.012663651257753372,1.0803347322507761e-05,0.001986550632864237
38,1.0000000116860974e-07,0.0003787348687183112,0.012664388865232468,1.0822726835613139e-05,0.001990748569369316
39,1.0000000116860974e-07,0.00037844269536435604,0.012662035413086414,1.083674214896746e-05,0.001990155316889286
